"","X1","X2"
"AAG03999","AAG03999","PA0610"
"AAG04000","AAG04000","PA0611"
"AAG04001","AAG04001","PA0612"
"AAG04002","AAG04002","PA0613"
"AAG04003","AAG04003","PA0614"
"AAG04004","AAG04004","PA0615"
"AAG04005","AAG04005","PA0616"
"AAG04006","AAG04006","PA0617"
"AAG04007","AAG04007","PA0618"
"AAG04008","AAG04008","PA0619"
"AAG04009","AAG04009","PA0620"
"AAG04010","AAG04010","PA0621"
"AAG04011","AAG04011","PA0622"
"AAG04012","AAG04012","PA0623"
"AAG04013","AAG04013","PA0624"
"AAG04014","AAG04014","PA0625"
"AAG04015","AAG04015","PA0626"
"AAG04016","AAG04016","PA0627"
"AAG04017","AAG04017","PA0628"
"AAG04018","AAG04018","PA0629"
"AAG04019","AAG04019","PA0630"
"AAG04020","AAG04020","PA0631"
"AAG04021","AAG04021","PA0632"
"AAG04022","AAG04022","PA0633"
"AAG04023","AAG04023","PA0634"
"AAG04024","AAG04024","PA0635"
"AAG04025","AAG04025","PA0636"
"AAG04026","AAG04026","PA0637"
"AAG04027","AAG04027","PA0638"
"AAG04028","AAG04028","PA0639"
"AAG04029","AAG04029","PA0640"
"AAG04030","AAG04030","PA0641"
"AAG04031","AAG04031","PA0642"
"AAG04032","AAG04032","PA0643"
"AAG04033","AAG04033","PA0644"
"AAG04034","AAG04034","PA0645"
"AAG04035","AAG04035","PA0646"
"AAG04036","AAG04036","PA0647"
"AAG04037","AAG04037","PA0648"
"AAG04038","AAG04038","PA0649"
"AAG04039","AAG04039","PA0650"
"AAG04040","AAG04040","PA0651"
"AAG04041","AAG04041","PA0652"
"AAG04042","AAG04042","PA0653"
"AAG04043","AAG04043","PA0654"
"AAG04044","AAG04044","PA0655"
"AAG04045","AAG04045","PA0656"
"AAG04046","AAG04046","PA0657"
"AAG04047","AAG04047","PA0658"
"AAG04048","AAG04048","PA0659"
"AAG04049","AAG04049","PA0660"
"AAG04050","AAG04050","PA0661"
"AAG04051","AAG04051","PA0662"
"AAG04052","AAG04052","PA0663"
"AAG04053","AAG04053","PA0664"
"AAG04054","AAG04054","PA0665"
"AAG04055","AAG04055","PA0666"
"AAG04056","AAG04056","PA0667"
"AAG04057","AAG04057","PA0668"
"AAG04058","AAG04058","PA0669"
"AAG04059","AAG04059","PA0670"
"AAG04060","AAG04060","PA0671"
"AAG04061","AAG04061","PA0672"
"AAG04062","AAG04062","PA0673"
"AAG04063","AAG04063","PA0674"
"AAG04064","AAG04064","PA0675"
"AAG04065","AAG04065","PA0676"
"AAG04066","AAG04066","PA0677"
"AAG04067","AAG04067","PA0678"
"AAG04068","AAG04068","PA0679"
"AAG04069","AAG04069","PA0680"
"AAG04070","AAG04070","PA0681"
"AAG04071","AAG04071","PA0682"
"AAG04072","AAG04072","PA0683"
"AAG04073","AAG04073","PA0684"
"AAG04074","AAG04074","PA0685"
"AAG04075","AAG04075","PA0686"
"AAG04076","AAG04076","PA0687"
"AAG04077","AAG04077","PA0688"
"AAG04078","AAG04078","PA0689"
"AAG04079","AAG04079","PA0690"
"AAG04080","AAG04080","PA0691"
"AAG04081","AAG04081","PA0692"
"AAG04082","AAG04082","PA0693"
"AAG04083","AAG04083","PA0694"
"AAG04084","AAG04084","PA0695"
"AAG04085","AAG04085","PA0696"
"AAG04086","AAG04086","PA0697"
"AAG04087","AAG04087","PA0698"
"AAG04088","AAG04088","PA0699"
"AAG04089","AAG04089","PA0700"
"AAG04090","AAG04090","PA0701"
"AAG04091","AAG04091","PA0702"
"AAG04092","AAG04092","PA0703"
"AAG04093","AAG04093","PA0704"
"AAG04094","AAG04094","PA0705"
"AAG04095","AAG04095","PA0706"
"AAG04096","AAG04096","PA0707"
"AAG04097","AAG04097","PA0708"
"AAG04098","AAG04098","PA0709"
"AAG04099","AAG04099","PA0710"
"AAG04100","AAG04100","PA0711"
"AAG04101","AAG04101","PA0712"
"AAG04102","AAG04102","PA0713"
"AAG04103","AAG04103","PA0714"
"AAG04104","AAG04104","PA0715"
"AAG04105","AAG04105","PA0716"
"AAG04106","AAG04106","PA0717"
"AAG04107","AAG04107","PA0718"
"AAG04108","AAG04108","PA0719"
"AAG04109","AAG04109","PA0720"
"AAG04110","AAG04110","PA0721"
"AAG04111","AAG04111","PA0722"
"AAG04112","AAG04112","PA0723"
"AAG04113","AAG04113","PA0724"
"AAG04114","AAG04114","PA0725"
"AAG04115","AAG04115","PA0726"
"AAG04116","AAG04116","PA0727"
"AAG04117","AAG04117","PA0728"
"AAG04118","AAG04118","PA0729"
"AAG04119","AAG04119","PA0730"
"AAG04120","AAG04120","PA0731"
